Year,Name,Type,Author
1972,C,Structured,Dennis Ritchie
1983,C++,Object-oriented,Bjarne Stroustrup
1990,Python,Object-oriented,Guido van Rossum
1995,Ruby,Dynamic,Yukihiro Matsumoto
1987,Perl,Multi-paradigm,Larry Wall
